順序	交易類型	交易名稱	電文分類	交易名稱(調整)
1	FAC2FAS	FAC2FAS(A8121-S21)	帳務後送	無異動
2	G61	連線收付業務－虛擬帳號	update	連線收付業務－虛擬帳號
3	G0601	連線收付業務－虛擬分戶/代收比對檔查詢(ATM) 	query	連線收付業務－虛擬分戶/代收比對檔查詢(ATM) 
4	G61OUT	連線收付業務－外部代收	update	連線收付業務－外部代收
5	P94	存摺業務－轉帳代繳各項費用-虛擬帳號	update	存摺業務－轉帳代繳各項費用-虛擬帳號
6	G0061	連線收付業務－主檔查詢	query	連線收付業務－主檔查詢
7	P0001	存摺業務－餘額查詢	query	存摺業務－餘額查詢
8	R1600	匯入匯款下傳程式	update	匯入匯款下傳程式
9	G0064	連線收付業務－明細查詢	query	連線收付業務－明細查詢
10	G0106	共用整批業務－共用整批上傳清單查詢	query	共用整批業務－共用整批上傳清單查詢
11	G0120	灰名單約定帳號查詢	query	無異動
12	R30	跨行匯入匯款程式	update	無異動
13	K20	支存業務－一般存入	update	支存業務－一般存入
14	R71	整批匯出確認	update	無異動
15	P20	一般存入-臨櫃EXPTP	update	無異動
16	V6440	外幣現鈔申請	update	無異動
17	G61PAY	連線收付業務－兌付虛擬帳號	update	連線收付業務－兌付虛擬帳號
18	G0062	連線收付業務－軋帳查詢(中)	query	連線收付業務－軋帳查詢(中)
19	V70	電子銀行整批入帳及跨行入帳交易	update	電子銀行整批入帳及跨行入帳交易
20	V6900	他行晶片卡轉帳繳費交易(含全國性繳費交易)	update	他行晶片卡轉帳繳費交易(含全國性繳費交易)
21	G0063	連線收付業務－軋帳查詢(終)	query	連線收付業務－軋帳查詢(終)
22	G0109	Controller-G0109共用訊息通知及回應	query	Controller-G0109共用訊息通知及回應
23	G2017	共用整批業務－新共用整批上傳	update	共用整批業務－新共用整批上傳
24	G0156	共用整批業務－共用整批檢核上傳結果查詢	query	共用整批業務－共用整批檢核上傳結果查詢
25	V6101	電子銀行預約轉帳登錄交易	update	電子銀行預約轉帳登錄交易
26	G0157	共用整批業務－共用整批處理狀態查詢	query	共用整批業務－共用整批處理狀態查詢
27	G0065	連線收付業務－報核聯送稽徵機關查詢	query	連線收付業務－報核聯送稽徵機關查詢
28	R8113	跨行入帳通知(000160)	update	跨行入帳通知(000160)
29	G6611	連線收付業務－代收比對/虛擬分戶資料維護	update	連線收付業務－代收比對/虛擬分戶資料維護
30	R1200	匯出確認	update	匯出確認
31	G0112	約定扣繳業務－約定扣繳帳號查詢(調RIM交易)  	query	約定扣繳業務－約定扣繳帳號查詢(調RIM交易)  
32	G2002	約定扣繳業務－約定扣繳帳號維護	update	約定扣繳業務－約定扣繳帳號維護
33	G6200	連線收付業務－更改主檔	update	連線收付業務－更改主檔
34	G0067	連線收付業務－代收比對/虛擬分戶資料查詢	query	連線收付業務－代收比對/虛擬分戶資料查詢
35	K9500	支存業務－一般支取	update	支存業務－一般支取
36	G5601	客戶授權繳款登錄解除（單筆）	update	客戶授權繳款登錄解除（單筆）
37	G2018	共用整批業務－新共用整批上傳放行	update	共用整批業務－新共用整批上傳放行
38	G6300	連線收付業務－軋帳取消	update	連線收付業務－軋帳取消
39	NOTIFQRY	提供NOTIFY查詢訊息通知資訊	query	無異動
40	R8111	付款指示明細(020100)	update	付款指示明細(020100)
41	P10	存摺業務 - 一般支取	update	存摺業務 - 一般支取
42	V86	eACH即時代收代付交易	update	無異動
43	G2020	共用整批業務－新共用整批單筆更正	update	共用整批業務－新共用整批單筆更正
44	V6406	電子銀行約定轉出帳戶申請交易	update	電子銀行約定轉出帳戶申請交易
45	G6601	連線收付業務－入金機維護	update	連線收付業務－入金機維護
